Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Planet_radius,Planet_mass,Temperature_day_K,Temperature_equilibrium_K,log10_gravity,Period,Transit_Duration,K_magnitude_brightness,Distance,Effective_temperature_star,log10_gravity_star,Transit_Flag,Catalog_Name
11 Com b,,,,,16.1284,885,744,,326.03,,2.3,88.89,4830,2.61,FALSE,exoplanets.org
11 UMi b,,,,,11.0873,1341,1127,0,516.22,,1.9,122.1,4340,1.6,FALSE,exoplanets.org
14 And b,,,,,4.68383,1025,862,0,185.84,,2.3,79.18,4813,2.63,FALSE,exoplanets.org
24 Sex b,,,,,1.83564,484,407,,455.2,,4.3,77.46,5069,3.4,FALSE,exoplanets.org
14 Her b,,,,,5.21486,172,145,0,1773.4,,4.7,17.57,5388,4.517,FALSE,exoplanets.org
16 Cyg B b,,,,,1.63997,267,224,0,798.5,,4.7,21.21,5674,4.355,FALSE,exoplanets.org
18 Del b,,,,,10.298,542,456,0,993.3,,3.4,75.3,5076,3.08,FALSE,exoplanets.org
51 Eri b,,,,0.76,,,,,,,4.5,29.43,,,FALSE,exoplanets.org
55 Cnc f,,,,,0.172877,329,276,,261.2,,4,12.34,5196,4.45,FALSE,exoplanets.org
24 Sex c,,,,,1.51716,384,323,,910,,4.3,77.46,5069,3.4,FALSE,exoplanets.org
30 Ari B b,,,,,9.87792,366,308,,335.1,,5.8,40.78,6300,4.5,FALSE,exoplanets.org
42 Dra b,,,,,3.73203,1046,879,0,479.1,,2.1,96.53,4200,1.71,FALSE,exoplanets.org
61 Vir b,,,,,0.016075,1412,1188,,4.215,,3,8.56,5571,4.45,FALSE,exoplanets.org
47 UMa b,,,,,2.54589,246,207,0,1078,,3.8,14.06,5882,4.377,FALSE,exoplanets.org
47 UMa c,,,,,0.545774,189,159,0,2391,,3.8,14.06,5882,4.377,FALSE,exoplanets.org
4 UMa b,,,,,7.13242,1589,1336,0,269.3,,1.7,78.49,4415,1.8,FALSE,exoplanets.org
61 Vir c,,,,,0.033375,679,571,,38.021,,3,8.56,5571,4.45,FALSE,exoplanets.org
51 Peg b,,,,,0.461143,1470,1236,0,4.2308,,3.9,15.61,5787,4.449,FALSE,exoplanets.org
55 Cnc b,,,,,0.801471,858,722,0,14.651,,4,12.34,5196,4.45,FALSE,exoplanets.org
55 Cnc c,,,,,0.164558,593,499,0,44.38,,4,12.34,5196,4.45,FALSE,exoplanets.org
61 Vir d,,,,,0.071593,459,386,,123.01,,3,8.56,5571,4.45,FALSE,exoplanets.org
6 Lyn b,,,,,2.20888,452,380,0,874.774,,3.7,56.95,4978,3.16,FALSE,exoplanets.org
55 Cnc d,,,,,3.54451,124,104,0,4909,,4,12.34,5196,4.45,FALSE,exoplanets.org
55 Cnc e,0.343,0.124,0.314,0.19,0.026367,2326,1956,3.235,0.7365,1.6416,4,12.34,5196,4.45,TRUE,exoplanets.org
70 Vir b,,,,,7.46144,577,485,0,116.6884,,3.2,17.99,5545,4.068,FALSE,exoplanets.org
75 Cet b,,,,,2.7597,647,544,,691.9,,3.2,81.43,4904,2.87,FALSE,exoplanets.org
7 CMa b,,,,,2.43233,308,259,,763,,1.6,19.75,4761,3.11,FALSE,exoplanets.org
81 Cet b,,,,,4.31096,729,613,0,952.7,,3.3,100.91,4845,2.45,FALSE,exoplanets.org
8 UMi b,,,,,1.52093,1248,1049,,93.4,,4.5,160,4847,2.57,FALSE,exoplanets.org
91 Aqr b,,,,,3.07016,1072,901,,181.4,,1.7,45.9,4681,2.65,FALSE,exoplanets.org
alpha Ari b,,,,,1.71662,903,759,,380,,-0.8,20.18,4513,2.49,FALSE,exoplanets.org
alpha Cen B b,,,,,0.003546,1393,1171,,3.2357,,-0.6,1.25,5214,,FALSE,exoplanets.org
BD +14 4559 b,,,,,1.51929,267,224,0,268.94,,7.3,48.36,4814,4.6,FALSE,exoplanets.org
BD +20 2457 b,,,,,11.8883,1367,1149,0,379.63,,6.4,200,4259,1.77,FALSE,exoplanets.org
BD +48 738 b,,,,,1.2654,869,730,,392.6,,5.9,,4658,2.62,FALSE,exoplanets.org
bet Cnc b,,,,,7.8,1245,1047,,605.2,,0.1,92.99,4092,1.4,FALSE,exoplanets.org
BD +20 2457 c,,,,,6.90191,1160,976,0,621.99,,6.4,424.63,4259,1.77,FALSE,exoplanets.org
BD -08 2823 b,,,,,0.045941,1301,1094,,5.6,,7.3,42.5,4746,4.13,FALSE,exoplanets.org
BD -08 2823 c,,,,,0.328101,373,314,,237.6,,7.3,42.5,4746,4.13,FALSE,exoplanets.org
bet UMi b,,,,,6.1,1227,1031,,522.3,,-1.4,40.14,4126,1.5,FALSE,exoplanets.org
BD -10 3166 b,,,,,0.429903,1274,1072,0,3.4878,,8.1,80,5393,4.685,FALSE,exoplanets.org
beta Gem b,,,,,2.75822,609,512,,589.64,,-0.9,10.36,4935,2.91,FALSE,exoplanets.org
beta Pic b,,,,,11,,,,7482,,3.5,19.3,,,FALSE,exoplanets.org
GJ 3293 c,,,,,0.066875,210,176,,122.6192,,7.5,20.2,3466,,FALSE,exoplanets.org
GJ 3341 b,,,,,0.020821,448,377,,14.207,,7.7,,3526,,FALSE,exoplanets.org
KOI 2882.01,0,0,0.008,0.24,0.023332,365,307,2.992,75.858,5.382,13,,4474,4.67,TRUE,exoplanets.org
CoRoT-10 b,0,0.013,0.007,0.97,2.75536,796,669,3.858,13.2406,2.98,11.8,344.95,5075,4.65,TRUE,exoplanets.org
CoRoT-11 b,0.159,0.094,0.027,1.43,2.34813,2057,1730,3.458,2.9943,2.5008,11.2,558.97,6440,4.22,TRUE,exoplanets.org
GJ 163 d,,,,,0.09261,,,,603.9512,,7.1,14.99,,,FALSE,exoplanets.org
GJ 176 b,,,,,0.025997,,,0,8.7832,,5.6,9.27,,,FALSE,exoplanets.org
CoRoT-12 b,0.043,0.041,0.031,1.44,0.91918,1714,1441,3.046,2.828,2.5742,13.6,1150,5675,4.375,TRUE,exoplanets.org
CoRoT-13 b,0.01,0.016,0.007,0.89,1.31099,1514,1273,3.612,4.0352,3.14,13.4,1310.62,5945,4.3,TRUE,exoplanets.org
HD 102365 b,,,,,0.050977,432,363,,122.1,,3.5,9.22,5630,4.57,FALSE,exoplanets.org
HD 11755 b,,,,,6.55071,1239,1042,,433.7,,3.8,234.19,4313,1.67,FALSE,exoplanets.org
CoRoT-14 b,0.057,0.024,0.001,1.09,7.69464,2318,1949,4.208,1.5121,1.662,13.8,1340,6035,4.35,TRUE,exoplanets.org
CoRoT-16 b,0.011,0.021,0.027,1.17,0.537982,1420,1194,2.991,5.3523,2.39,12.8,840,5650,4.36,TRUE,exoplanets.org
HD 132406 b,,,,,5.60495,,,0,974,,6.9,67.89,5885,,FALSE,exoplanets.org
HD 1461 b,,,,,0.024004,1392,1170,,5.7727,,4.9,23.25,5765,4.37,FALSE,exoplanets.org
CoRoT-17 b,0.038,0.029,0.005,1.02,2.46001,1844,1551,3.813,3.7681,4.72,12.5,920,5740,4.4,TRUE,exoplanets.org
CoRoT-18 b,0.081,0.062,0.01,1.31,3.48652,1813,1524,3.707,1.9001,2.387,13,870,5440,4.4,TRUE,exoplanets.org
HD 156668 b,,,,,0.013058,1061,892,,4.6455,,6,24.47,4850,4.598,FALSE,exoplanets.org
HD 163607 b,,,,,0.768857,690,580,,75.29,,6.3,69,5543,4.04,FALSE,exoplanets.org
OGLE-2018-BLG-1011L b,,,,1.2,1.8,,,3.491,,,,7100,,,FALSE,nexsci
CoRoT-19 b,0.085,0.054,0.028,1.29,1.10792,1971,1658,3.239,3.8971,4.7,11.8,770,6090,4.07,TRUE,exoplanets.org
CoRoT-1 b,0.308,0.134,0.078,1.49,1.02979,2257,1898,3.057,1.509,2.5109,12.1,,5950,4.25,TRUE,exoplanets.org
HD 175167 b,,,,,7.77836,,,,1290,,6.3,67.29,,,FALSE,exoplanets.org
HD 20794 c,,,,,0.007436,,639,,40.114,,2.6,6.06,5401,4.22,FALSE,exoplanets.org
CoRoT-20 b,0.001,0.009,0.002,0.84,4.24,1133,953,4.18,9.2429,2.2248,12.5,1230,5880,4.2,TRUE,exoplanets.org
CoRoT-22 b,0.001,0.004,0.035,0.45,0.0383,1194,1004,2.738,9.756,4.488,12,592,5939,4.361,TRUE,exoplanets.org
HD 22781 b,,,,,13.8403,226,190,,528.07,,6.6,32.78,5027,4.6,FALSE,exoplanets.org
HD 285507 b,,,,,0.917,861,724,,6.0881,,7.7,41.34,4503,4.67,FALSE,exoplanets.org
CoRoT-23 b,0.043,0.028,0.004,1.05,3.0853,1950,1640,3.841,3.6313,3.888,12.4,599.99,5900,4.3,TRUE,exoplanets.org
CoRoT-25 b,0.011,0.016,0.036,1.08,0.27,1570,1320,2.835,4.8607,1.92,12.8,1000,6040,4.28,TRUE,exoplanets.org
HD 290327 b,,,,,2.54762,171,144,,2443,,7.3,56.66,5552,4.42,FALSE,exoplanets.org
HD 37605 c,,,,,3.36552,153,129,,2720,,6.8,43.98,5448,4.511,FALSE,exoplanets.org
TOI 1172.01,,,,,,,,,7.8569,5.935,,875.06,,,TRUE,toi
CoRoT-26 b,0.035,0.025,0.028,1.26,0.479479,1870,1573,2.883,4.2047,5.47,13.3,1670,5590,4.1,TRUE,exoplanets.org
CoRoT-27 b,0.022,0.026,0.001,1.01,10.3882,1626,1367,4.378,3.5753,2.77,13,,5900,4.4,TRUE,exoplanets.org
HD 48265 b,,,,,1.47557,,,0,780.3,,6.4,85.4,5650,3.92,FALSE,exoplanets.org
HD 7924 d,,,,,0.02038,666,560,,24.451,,5.2,16.81,5177,4.59,FALSE,exoplanets.org
GJ 15 A c,,,,0.59,0.11327,55,46,2.899,7600,,4,3.56,3607,4.87,FALSE,nexsci
CoRoT-28 b,0.031,0.034,0.03,0.95,0.484,1620,1362,3.121,5.2085,5.7,11,560,5150,3.94,TRUE,exoplanets.org
CoRoT-29 b,0.012,0.022,0.012,0.9,0.85,1448,1218,3.417,2.8506,2.088,13,765,5260,4.3,TRUE,exoplanets.org
HD 85512 b,,,,,0.011395,497,418,,58.43,,4.7,11.15,4715,4.39,FALSE,exoplanets.org
HD 95872 b,,,,,4.59415,134,113,,4375,,8,7.56,5312,4.43,FALSE,exoplanets.org
TOI 1009.01,,,,,,,3555,,1.96,1.611,8.6,866.15,,,TRUE,toi
CoRoT-2 b,0.408,0.315,0.061,1.47,3.27527,1826,1535,3.585,1.743,2.267,10.3,,5625,,TRUE,exoplanets.org
CoRoT-3 b,0.052,0.034,0.001,1.01,21.8549,2013,1693,4.73,4.2568,3.765,11.6,833.33,6740,4.23,TRUE,exoplanets.org
CoRoT-4 b,0.008,0.028,0.037,1.19,0.717419,1276,1073,3.099,9.202,4.6714,12.3,,6190,4.41,TRUE,exoplanets.org
epsilon CrB b,,,,,6.04937,1233,1037,,417.9,,1.3,67.89,4436,1.94,FALSE,exoplanets.org
HD 233832 b,,,,1.2,1.78,140,118,3.486,2058,,8,58.74,4981,4.49,FALSE,nexsci
CoRoT-5 b,0.05,0.051,0.082,1.39,0.462537,1708,1436,2.772,4.0379,2.8475,12.5,,6100,4.19,TRUE,exoplanets.org
CoRoT-6 b,0.007,0.032,0.01,1.17,2.95364,1208,1016,3.733,8.8866,4.079,12.1,,6090,4.44,TRUE,exoplanets.org
Fomalhaut b,,,,,0.5,63,53,,318498,,0.9,7.7,8590,,FALSE,exoplanets.org
gamma Leo A b,,,,,10.3722,1167,981,,428.5,,-0.8,39.89,4428,1.97,FALSE,exoplanets.org
CoRoT-7 b,0.01,0.004,0.019,0.14,0.014,2150,1808,3.143,0.8536,1.125,9.8,149.93,5275,4.5,TRUE,exoplanets.org
CoRoT-8 b,0.001,0.011,0.027,0.57,0.216078,1014,853,3.231,6.2123,2.74,11.5,380.23,5080,4.58,TRUE,exoplanets.org
GJ 15 A b,,,,,0.0168,474,399,,11.4433,,4,3.59,3567,4.9,FALSE,exoplanets.org
GJ 163 b,,,,,0.033876,,,,8.631,,7.1,14.99,,,FALSE,exoplanets.org
CoRoT-9 b,0,0.002,0.022,1.05,0.843564,490,412,3.278,95.2738,8.08,11.7,459.98,5625,4.54,TRUE,exoplanets.org
epsilon Eri b,,,,,1.05448,138,116,0,2500,,1.8,3.22,5146,4.574,FALSE,exoplanets.org
epsilon Ret b,,,,,1.37669,470,395,0,428.1,,1.7,18.24,4781,3.46,FALSE,exoplanets.org
GJ 163 c,,,,,0.021552,,,,25.6306,,7.1,14.99,,,FALSE,exoplanets.org
epsilon Tau b,,,,,7.67663,727,611,0,594.9,,1.4,44.96,4946,2.62,FALSE,exoplanets.org
eta Cet b,,,,,2.5485,865,728,,407.5,,0.9,37.99,4528,2.36,FALSE,exoplanets.org
eta Cet c,,,,,3.28703,708,595,,744.5,,0.9,37.99,4528,2.36,FALSE,exoplanets.org
GJ 179 b,,,,,0.824243,,,0,2288,,6.9,12.29,3370,4.83,FALSE,exoplanets.org
GJ 317 b,,,,,1.26045,,,0,692,,7,15.1,,,FALSE,exoplanets.org
gamma Cep b,,,,,1.51728,434,365,0,905.574,,1,14.1,4764,3.1,FALSE,exoplanets.org
GJ 1214 b,0,0.023,0.362,0.24,0.020351,665,559,2.95,1.5804,0.8788,8.8,12.95,3026,4.991,TRUE,exoplanets.org
GJ 328 b,,,,,2.3,,,,4100,,6.4,19.8,3900,,FALSE,exoplanets.org
GJ 3293 b,,,,,0.074108,333,280,,30.5986,,7.5,20.2,3466,,FALSE,exoplanets.org
GJ 3470 b,0.001,0.031,0.275,0.37,0.044009,775,652,2.904,3.3366,1.9176,8,,3600,,TRUE,exoplanets.org
GJ 3634 b,,,,,0.022188,,,,2.6456,,7.5,19.78,,,FALSE,exoplanets.org
GJ 433 b,,,,,0.018199,,,,7.3709,,5.6,8.88,3600,,FALSE,exoplanets.org
GJ 504 b,,,,,4,,,,,,3.8,17.67,6234,4.6,FALSE,exoplanets.org
GJ 581 b,,,,,0.049902,544,457,0,5.3686,,5.8,6.25,3498,4.96,FALSE,exoplanets.org
GJ 436 b,0.001,0.061,0.31,0.38,0.072698,771,649,3.106,2.6439,0.7608,6.1,10.14,3350,4.843,TRUE,exoplanets.org
GJ 581 c,,,,,0.016776,406,341,0,12.9182,,5.8,6.25,3498,4.96,FALSE,exoplanets.org
GJ 581 e,,,,,0.006135,649,546,0,3.1494,,5.8,6.25,3498,4.96,FALSE,exoplanets.org
GJ 649 b,,,,,0.325341,,,,598.3,,5.6,10.34,3700,,FALSE,exoplanets.org
GJ 667 C b,,,,,0.017495,,,,7.1999,,6,7.24,3350,,FALSE,exoplanets.org
GJ 667 C c,,,,,0.013069,,,,28.1,,6,7.24,3350,,FALSE,exoplanets.org
GJ 674 b,,,,,0.034879,,,0,4.6938,,4.9,4.54,3600,,FALSE,exoplanets.org
GJ 676 A b,,,,,4.43286,,,,1050.3,,5.8,16.45,,,FALSE,exoplanets.org
GJ 687 b,,,,,0.058,311,262,,38.14,,4.5,4.5,3413,,FALSE,exoplanets.org
GJ 832 b,,,,,0.684002,,,0,3657,,4.5,4.95,,,FALSE,exoplanets.org
GJ 832 c,,,,,0.016749,,,,35.68,,4.5,4.95,3472,4.7,FALSE,exoplanets.org
GJ 849 b,,,,,0.830886,,,0,1882,,5.6,9.1,,,FALSE,exoplanets.org
GJ 876 b,,,,,1.9469,,,0,61.1166,,5,4.69,,,FALSE,exoplanets.org
GJ 876 c,,,,,0.612168,,,0,30.0881,,5,4.69,,,FALSE,exoplanets.org
GJ 86 b,,,,,4.00104,755,635,0,15.7649,,4.1,10.78,5151,4.594,FALSE,exoplanets.org
GJ 876 d,,,,,0.018419,,,0,1.9378,,5,4.69,,,FALSE,exoplanets.org
GJ 876 e,,,,,0.039229,,,,124.26,,5,4.69,,,FALSE,exoplanets.org
HD 96127 b,,,,,4.00701,962,809,,647.3,,3.9,483.09,4152,2.06,FALSE,exoplanets.org
HIP 79431 b,,,,,2.11299,,,,111.7,,6.6,14.4,3191,,FALSE,exoplanets.org
HAT-P-11 b,0.006,0.054,0.221,0.42,0.082535,1034,870,3.065,4.8878,2.2968,7,37.47,4780,4.59,TRUE,exoplanets.org
HAT-P-12 b,0.021,0.106,0.312,0.96,0.210804,1138,957,2.756,3.2131,2.3376,10.1,142.5,4650,4.61,TRUE,exoplanets.org
HIP 97233 b,,,,,19.8471,417,351,,1058.8,,5.1,106.5,5020,3.26,FALSE,exoplanets.org
HR 8799 c,,,,1.2,9.5,76,64,4.214,82145,,5.2,39.4,7193,,FALSE,exoplanets.org
HAT-P-13 b,0.325,0.202,0.126,1.28,0.85708,1957,1646,3.114,2.9162,3.228,9,202.02,5653,4.13,TRUE,exoplanets.org
HAT-P-13 c,,,,,14.2696,365,307,0,446.27,,9,202.02,5653,4.13,FALSE,exoplanets.org
HAT-P-14 b,0.147,0.119,0.033,1.15,2.23603,1860,1564,3.624,4.6277,2.1888,8.9,204.92,6600,4.25,TRUE,exoplanets.org
Kepler-102 d,,,,0.11,0.00575,824,693,3.109,10.3117,,9.4,,4903,4.607,TRUE,exoplanets.org
HAT-P-15 b,0.008,0.068,0.035,1.07,1.95154,1067,897,3.627,10.8635,5.484,9.7,190.11,5568,4.38,TRUE,exoplanets.org
HAT-P-16 b,0.3,0.208,0.03,1.29,4.2025,1930,1623,3.799,2.776,3.0624,9.6,235,6158,4.34,TRUE,exoplanets.org
Kepler-103 c,,,,0.46,0.087763,502,422,3.015,179.612,,10.9,,5845,4.162,TRUE,exoplanets.org
Kepler-106 c,,,,0.22,0.032848,1027,863,3.214,13.5708,,11.4,,5858,4.407,TRUE,exoplanets.org
HAT-P-17 b,0.005,0.103,0.222,1.01,0.530158,925,778,3.115,10.3385,4.0584,8.5,90,5246,4.53,TRUE,exoplanets.org
HAT-P-18 b,0.006,0.068,0.293,0.99,0.197205,1007,846,2.696,5.508,2.7144,10.2,166,4803,4.57,TRUE,exoplanets.org
Kepler-107 e,0,0.002,0.016,0.31,0.036046,1160,976,2.975,14.749,6.588,11.1,,5851,4.196,TRUE,exoplanets.org
Kepler-110 c,0,0,0.007,0.2,0.016604,826,695,3.025,31.7198,4.823,11.6,,5960,4.327,TRUE,exoplanets.org
HAT-P-19 b,0.024,0.102,0.256,1.13,0.292273,1198,1008,2.755,4.0088,2.8368,10.5,215,4990,4.54,TRUE,exoplanets.org
HAT-P-1 b,0.139,0.203,0.27,1.24,0.532369,1550,1303,2.935,4.4653,2.7844,8.9,155.28,5975,4.382,TRUE,exoplanets.org
Kepler-115 c,0,0.001,0.01,0.23,0.020891,1292,1087,2.983,8.9909,4.083,12,,5979,4.306,TRUE,exoplanets.org
Kepler-117 c,0,0.004,0.008,1.01,0.923754,827,696,3.353,50.7904,10.898,13,,6169,4.187,TRUE,exoplanets.org
HAT-P-20 b,0.035,0.166,0.012,0.87,7.28953,1153,970,4.383,2.8753,1.848,8.6,70,4595,4.63,TRUE,exoplanets.org
HAT-P-21 b,0.063,0.097,0.013,1.02,4.07833,1512,1272,3.988,4.1245,3.672,10.1,254,5588,4.33,TRUE,exoplanets.org
Kepler-119 c,0,0,0.005,0.08,0.002166,1308,1100,2.901,4.1251,2.84,12.6,,5595,4.567,TRUE,exoplanets.org
Kepler-121 c,0,0,0.006,0.2,0.017182,528,444,3.016,41.008,3.978,12.8,,5311,4.646,TRUE,exoplanets.org
HAT-P-22 b,0.232,0.332,0.083,1.08,2.15137,1522,1280,3.664,3.2122,2.8704,7.8,82,5302,4.36,TRUE,exoplanets.org
HAT-P-23 b,0.538,0.193,0.047,1.37,2.09606,2436,2048,3.445,1.2129,2.1792,10.8,393,5905,4.33,TRUE,exoplanets.org
Kepler-122 e,0,0,0.005,0.23,0.020891,813,683,2.983,37.9933,7.155,12.8,,6050,4.299,TRUE,exoplanets.org
Kepler-125 c,0,0,0.01,0.07,0.001004,622,523,2.757,5.7745,1.878,11.7,,3810,4.744,TRUE,exoplanets.org
HAT-P-24 b,0.169,0.117,0.104,1.24,0.685857,1943,1634,3.043,3.3552,3.6936,10.5,396,6373,4.27,TRUE,exoplanets.org
Kepler-127 d,0,0.001,0.014,0.24,0.021409,798,671,2.981,48.6304,7.018,10.2,,6106,4.265,TRUE,exoplanets.org
Kepler-132 c,0,0.001,0.007,0.11,0.006927,1436,1207,3.119,6.4149,3.3,10.4,,6003,4.31,TRUE,exoplanets.org
Kepler-134 c,0,0,0.004,0.11,0.006564,1229,1033,3.11,10.1058,2.059,11,,5983,4.31,TRUE,exoplanets.org
Kepler-137 c,0,0,0.009,0.17,0.013842,716,602,3.086,18.7358,3.005,11.2,,5187,4.553,TRUE,exoplanets.org
HAT-P-25 b,0.051,0.099,0.118,1.19,0.567181,1429,1202,2.999,3.6528,2.8176,10.8,297,5500,4.48,TRUE,exoplanets.org
Kepler-142 c,0.002,0.002,0.012,0.26,0.024563,1587,1335,2.971,4.7617,3.303,11.8,,5790,4.262,TRUE,exoplanets.org
Kepler-144 c,0,0,0.004,0.12,0.008298,1279,1075,3.152,10.1047,2.278,10.8,,6075,4.289,TRUE,exoplanets.org
Kepler-147 c,0,0,0.005,0.22,0.018861,926,779,2.998,33.4164,7.293,12.4,,6012,4.182,TRUE,exoplanets.org
Kepler-149 c,0,0,0.003,0.14,0.011984,564,475,3.158,55.3283,6.948,12.2,,5381,4.465,TRUE,exoplanets.org
HAT-P-26 b,0.008,0.037,0.246,0.56,0.058649,1180,993,2.66,4.2345,2.4552,9.6,134,5079,4.56,TRUE,exoplanets.org
Kepler-151 c,0,0,0.004,0.19,0.015523,700,588,3.044,24.6746,3.014,12.9,,5460,4.555,TRUE,exoplanets.org
Kepler-153 c,0,0,0.006,0.23,0.020022,579,487,2.989,46.9023,3.826,12.4,,5404,4.446,TRUE,exoplanets.org
Kepler-155 c,0,0,0.008,0.2,0.016889,388,326,3.02,52.6618,3.188,11.8,,4508,4.684,TRUE,exoplanets.org
Kepler-158 c,0,0,0.008,0.17,0.013992,489,411,3.082,28.5514,4.248,12.1,,4623,4.66,TRUE,exoplanets.org
HAT-P-27 b,0.045,0.094,0.085,1.02,0.617485,1387,1167,3.176,3.0396,1.68,10.1,204,5190,4.5,TRUE,exoplanets.org
Kepler-160 c,0,0.001,0.012,0.32,0.04006,942,792,2.981,13.6991,4.807,13.1,,5857,4.51,TRUE,exoplanets.org
Kepler-162 c,0,0.001,0.008,0.27,0.027386,867,729,2.968,19.4464,3.527,12.7,,5816,4.436,TRUE,exoplanets.org
Kepler-164 c,0,0.001,0.006,0.24,0.022635,1163,978,2.976,10.9457,3.004,12.9,,5888,4.331,TRUE,exoplanets.org
Kepler-166 c,0,0,0.007,0.21,0.018314,588,494,3.003,34.2603,4.84,12.9,,5413,4.619,TRUE,exoplanets.org
HAT-P-28 b,0.083,0.094,0.091,1.21,0.627833,1641,1380,3.026,3.2572,3.2184,11.1,395,5680,4.36,TRUE,exoplanets.org
Kepler-169 d,0,0,0.004,0.11,0.006387,881,741,3.105,8.3481,2.79,12.2,,4997,4.582,TRUE,exoplanets.org
Kepler-170 c,0,0.001,0.008,0.26,0.024563,926,779,2.971,16.6659,4.2,12.7,,5679,4.445,TRUE,exoplanets.org
Kepler-172 c,0,0.001,0.008,0.26,0.024563,1270,1068,2.971,6.389,3.389,12.8,,5526,4.375,TRUE,exoplanets.org
Kepler-173 c,0,0.001,0.008,0.22,0.018861,1203,1011,2.998,8.0058,3.129,12.7,,6031,4.404,TRUE,exoplanets.org
HAT-P-29 b,0.041,0.071,0.061,1.11,0.779004,1494,1256,3.202,5.7232,3.3768,10.3,322,6087,4.34,TRUE,exoplanets.org
Kepler-175 c,0,0,0.007,0.28,0.028656,770,647,2.968,34.0353,7.057,13.5,,6064,4.472,TRUE,exoplanets.org
Kepler-178 c,0,0,0.005,0.26,0.024876,876,737,2.97,20.5528,2.205,12.9,,5676,4.334,TRUE,exoplanets.org
Kepler-180 c,0,0,0.007,0.27,0.027035,697,586,2.968,41.8858,6.241,12.7,,5731,4.343,TRUE,exoplanets.org
Kepler-183 b,0,0.001,0.004,0.18,0.015267,1322,1112,3.049,5.6879,2.214,13.3,,5888,4.502,TRUE,exoplanets.org
HAT-P-2 b,0.233,0.252,0.015,1.16,8.87066,1697,1427,4.294,5.6335,4.2888,7.6,114.42,6290,4.16,TRUE,exoplanets.org
Kepler-185 b,0,0.001,0.005,0.1,0.005081,1626,1367,3.063,1.6329,1.559,12.5,,5208,4.545,TRUE,exoplanets.org
Kepler-188 c,0.001,0.001,0.008,0.28,0.030386,1449,1219,2.968,5.9966,3.231,13.1,,6021,4.346,TRUE,exoplanets.org
Kepler-194 b,0.001,0.001,0.003,0.13,0.012045,1973,1659,3.216,2.0923,2.351,13.5,,6089,4.415,TRUE,exoplanets.org
Kepler-195 c,0,0,0.003,0.14,0.011604,592,498,3.177,34.0969,3.904,13,,5329,4.603,TRUE,exoplanets.org
HAT-P-30 b,0.341,0.234,0.213,1.34,0.711088,1944,1635,2.993,2.8106,2.1288,9.2,193,6304,4.36,TRUE,exoplanets.org
Kepler-197 c,0,0,0.007,0.11,0.006042,1194,1004,3.095,10.3497,4.251,10.5,,6004,4.304,TRUE,exoplanets.org
Kepler-199 b,0,0.001,0.012,0.28,0.028843,792,666,2.968,23.6376,4.954,12.1,,5644,4.438,TRUE,exoplanets.org
Kepler-201 c,0,0,0.008,0.25,0.024407,516,434,2.971,151.8841,12.99,11.7,,6065,4.294,TRUE,exoplanets.org
Kepler-203 d,0,0,0.003,0.13,0.010299,1120,942,3.189,11.3297,3.992,12.4,,5821,4.358,TRUE,exoplanets.org
HAT-P-31 b,0.075,0.09,0.024,1.07,2.16904,1638,1377,3.676,5.0054,5.1389,10.1,354,6065,4.26,TRUE,exoplanets.org
HAT-P-32 b,0.773,0.409,0.371,1.79,0.861516,2121,1783,2.826,2.15,3.108,10,283,6207,4.33,TRUE,exoplanets.org
Kepler-206 b,0,0,0.003,0.11,0.005548,1296,1090,3.079,7.782,3.644,12,,5764,4.311,TRUE,exoplanets.org
Kepler-207 d,0.002,0.002,0.01,0.3,0.032872,1693,1424,2.971,5.8681,3.97,11.8,,5920,4.129,TRUE,exoplanets.org
HAT-P-33 b,0.413,0.226,0.23,1.69,0.763256,2114,1778,2.825,3.4745,4.4136,10,387,6446,4.15,TRUE,exoplanets.org
HAT-P-34 b,0.094,0.145,0.02,1.2,3.334,1551,1304,3.979,5.4527,3.492,9.2,257,6442,4.21,TRUE,exoplanets.org
Kepler-209 b,0,0,0.006,0.2,0.017084,865,727,3.018,16.0878,2.878,12.4,,5513,4.472,TRUE,exoplanets.org
Kepler-211 c,0,0,0.005,0.12,0.007113,1040,875,3.124,6.0404,2.053,11.4,,5123,4.547,TRUE,exoplanets.org
HAT-P-35 b,0.123,0.092,0.056,1.33,1.05422,1875,1577,3.17,3.6467,3.936,11,535.04,6096,4.21,TRUE,exoplanets.org
HAT-P-36 b,0.413,0.191,0.049,1.26,1.83923,2160,1816,3.457,1.3273,2.2152,10.6,317,5560,4.37,TRUE,exoplanets.org
Kepler-214 b,0,0.001,0.007,0.23,0.021019,1174,987,2.983,15.6605,7.006,12.6,,6169,4.249,TRUE,exoplanets.org
Kepler-215 e,0,0,0.003,0.16,0.012912,583,490,3.118,68.161,5.654,12,,5739,4.364,TRUE,exoplanets.org
HAT-P-37 b,0.054,0.081,0.043,1.18,1.17362,1515,1274,3.325,2.7974,2.3304,11.7,411,5500,4.52,TRUE,exoplanets.org
HAT-P-38 b,0.016,0.049,0.097,0.82,0.267569,1283,1079,2.991,4.6404,3.0408,10.5,249.34,5330,4.45,TRUE,exoplanets.org
Kepler-218 b,0,0.001,0.004,0.13,0.011276,1513,1272,3.205,3.6193,3.014,12.3,,5502,4.391,TRUE,exoplanets.org
