Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Planet_radius,Planet_mass,Temperature_day_K,Temperature_equilibrium_K,log10_gravity,Period,Transit_Duration,K_magnitude_brightness,Distance,Effective_temperature_star,log10_gravity_star,Transit_Flag,Catalog_Name
TOI 653.01,0.426,0.054,,1.94,,4750,3994,,0.6883,1.5037,7.5,213.95,5929,3.501,TRUE,toi
TOI 676.01,0.047,0.029,,0.94,,1952,1641,,2.1505,1.5734,12.1,758.2,5500,4.239,TRUE,toi
TOI 960.01,,,,1.12,,4229,3556,,1.6187,2.428,10.5,789.89,9385,4.12,TRUE,toi
TOI 1252.01,,,,0.36,,,1480,,1.122,0.9527,10,123.83,,4.677,TRUE,toi
TOI 1290.01,0.004,0.007,,0.22,,1525,1282,,5.3988,3.6182,8.6,144.17,5875,4.265,TRUE,toi
TOI 1302.01,0.116,0.12,,1.33,,1730,1455,,5.6666,3.649,10,339.45,6530,4.234,TRUE,toi
TOI 468.01,0.002,0.05,,1.03,,870,731,,3.3253,1.9983,11.2,169.32,3749,4.654,TRUE,toi
TOI 1420.01,0.012,0.074,,1.08,,1134,954,,6.9561,3.3343,10.1,201.92,5387,4.463,TRUE,toi
TOI 967.01,0.132,0.028,,0.46,,3460,2909,,1.7394,2.359,9.8,522.06,7051,3.869,TRUE,toi
TOI 925.01,,,,4.4,,,717,,13.1774,3.426,9.7,1811.81,5028,,TRUE,toi
TOI 947.01,0.088,0.084,,1.6,,1758,1478,,7.3152,1.832,9.7,390.77,6299,3.985,TRUE,toi
TOI-1601 b,0.163,0.11,0.062,1.24,0.99,1927,1620,3.204,5.3318,6.3048,9.2,336.61,5948,3.94,TRUE,nexsci
TOI 1220.01,0,0.002,,0.94,,891,749,,70.3607,1.8266,8.8,273.7,6495,3.918,TRUE,toi
TOI 1122.01,,,,0.39,,,0,,3.6246,3.298,9.5,249.83,6317,,TRUE,toi
TOI-700 e,0,0,0.033,0.09,0.00257,351,295,2.945,27.8098,2.777,8.6,31.13,3459,4.81,TRUE,nexsci
TOI 1413.01,0.001,0.005,,0.55,,1158,974,,6.1182,0.5326,9,115.42,5427,4.515,TRUE,toi
TOI 890.01,,,,3.09,,,0,,3.2023,3.658,10.1,474.57,6935,,TRUE,toi
TOI-561 b,0.042,0.011,0.067,0.13,0.00629,2742,2306,2.985,0.4466,1.31,8.4,85.8,5372,4.5,TRUE,nexsci
TOI 144.01,0.009,0.021,,0.18,,1405,1182,,6.2678,2.9348,4.2,18.27,5992,4.359,TRUE,toi
TOI 2612.01,,,,1.72,,,988,,13.3572,,12.2,636.66,,,TRUE,toi
TOI 173.01,0.021,0.074,,1.08,,1011,850,,29.7538,7.9435,8.2,152.02,6680,4.253,TRUE,toi
TOI 407.01,0.177,0.056,,1.21,,2634,2215,,2.1655,3.471,11.7,959.46,6317,3.992,TRUE,toi
TOI 1400.01,0.064,0.06,,1.06,,1746,1468,,5.4892,3.29,10,370.79,6004,4.063,TRUE,toi
TOI 1412.01,0.001,0.025,,0.62,,898,755,,4.732,0.8278,9.2,81.06,4223,4.617,TRUE,toi
TOI 1115.01,0.168,0.11,,1.42,,2010,1690,,4.452,2.109,9.8,359.21,6829,4.205,TRUE,toi
TOI 1345.01,,,,1.51,,,2137,,8.4713,6.989,9.4,788.93,5146,,TRUE,toi
TOI 793.01,0,0,,0.36,,530,446,,54.6616,2.8591,9.7,144.07,5450,4.612,TRUE,toi
TOI 1393.01,,,,0.38,,3592,3020,,0.559,0.909,8.9,248.79,6515,4.302,TRUE,toi
TOI 277.01,0,0.014,,0.38,,764,643,,3.9934,2.0357,9.6,64.67,3668,4.717,TRUE,toi
TOI 1292.01,1.598,0.523,,2.43,,2522,2121,,1.4412,2.189,8.8,190.4,5786,4.125,TRUE,toi
TOI 756.01,0.002,0.009,,0.26,,1076,905,,1.2393,0.9729,10.3,86.18,3533,4.731,TRUE,toi
TOI 1079.01,0.052,0.024,,1.19,,2272,1911,,3.1641,1.5989,12.3,1179.27,6509,4.092,TRUE,toi
TOI 528.01,0.003,0.04,,0.81,,941,791,,3.5245,3.104,11.3,192.35,4016,4.613,TRUE,toi
TOI 472.01,3.463,5.395,,2.22,,1324,1114,,0.5683,1.0936,9.9,,3364,4.735,TRUE,toi
TOI 322.01,,,,1.53,,,1382,,3.9906,3.752,9.9,277.8,5868,,TRUE,toi
TOI 603.01,0.05,0.078,,0.71,,1207,1015,,16.1798,7.864,8.8,205.92,5901,4.044,TRUE,toi
TOI 914.01,,,,0.36,,,1556,,2.3375,2.284,9.3,233.21,5321,,TRUE,toi
TOI 807.01,0,0.002,,0.18,,961,808,,5.2702,1.9475,9.6,106.98,4662,4.626,TRUE,toi
TOI 842.01,0.055,0.071,,1.04,,1555,1307,,2.7864,2.0264,11.3,368.8,5242,4.392,TRUE,toi
TOI 219.01,0.183,0.084,,2.18,,2241,1884,,4.4618,5.3612,11.8,1131.15,6191,3.814,TRUE,toi
TOI 1167.01,,,,0.44,,,1191,,15.196,2.019,9.5,209.62,5807,,TRUE,toi
TOI 139.01,0,0.005,,0.27,,721,607,,11.0708,2.1365,7.6,42.41,4405,4.586,TRUE,toi
TOI 935.01,,,,1.42,,,1086,,2.2327,2.5383,11.2,282.2,4814,,TRUE,toi
TOI 1260.02,0,0.004,,0.25,,790,664,,7.4932,2.0994,8.9,73.6,4225,4.576,TRUE,toi
TOI 500.01,0.038,0.016,,0.12,,2050,1724,,0.5482,1.0776,7.7,47.39,4449,4.531,TRUE,toi
TOI 795.01,0.001,0.003,,0.29,,1366,1149,,8.761,1.3165,9.5,216.26,6169,4.275,TRUE,toi
TOI 263.01,0.011,0.02,,0.86,,1299,1092,,0.5568,0.8527,13.2,277.4,3423,4.791,TRUE,toi
TOI 1301.01,0,0.005,,0.23,,959,806,,6.0964,2.212,9,90.87,4781,4.596,TRUE,toi
TOI 282.03,0,0.001,,0.27,,677,569,,84.2591,9.4536,8.2,139.61,6315,4.232,TRUE,toi
TOI 1022.01,0.042,0.027,,0.31,,1991,1674,,3.0957,4.475,7.8,120.67,6203,4.234,TRUE,toi
TOI 511.01,0.166,0.107,,1.47,,1989,1672,,3.3552,3.658,10.5,415.34,6329,4.231,TRUE,toi
TOI 326.01,0.552,0.066,,0.99,,4726,3974,,0.2473,0.499,10.9,462.24,5424,3.928,TRUE,toi
TOI 138.01,,,,0.7,,,0,,6.1983,2.1768,8.6,128.49,5722,,TRUE,toi
TOI 617.01,,,,,,,1044,,2.4223,2.873,6.7,6149.76,3671,,TRUE,toi
TOI 553.01,0,0.003,,0.22,,855,719,,14.0582,3.5146,8.9,108.16,5286,4.509,TRUE,toi
TOI 1015.01,,,,2.85,,,1912,,1.3737,1.794,9.1,906.5,4897,,TRUE,toi
TOI 178.03,0,0.003,,0.19,,717,603,,9.962,2.5218,8.7,62.7,4339,4.63,TRUE,toi
TOI 442.01,0,0.013,,0.44,,826,695,,4.052,1.299,8.6,52.62,3779,4.645,TRUE,toi
TOI 561.01,0.001,0.013,,0.24,,933,785,,10.7788,4.8588,8.4,85.8,5440,4.567,TRUE,toi
TOI 952.01,0.111,0.024,,0.66,,3396,2855,,1.7901,1.176,9.4,459.16,7110,3.902,TRUE,toi
TOI 231.01,0.06,0.148,,1.14,,1348,1133,,3.361,2.5792,10.3,197.12,5381,4.581,TRUE,toi
TOI 839.01,0.479,0.168,,3.26,,2659,2236,,2.4856,2.9457,13.1,1627.63,7655,4.283,TRUE,toi
TOI 1128.01,0.004,0.01,,0.56,,1326,1115,,13.5499,1.795,8.9,222.53,6209,4.087,TRUE,toi
TOI 1014.01,,,,,,,2870,,1.4095,0.882,7.4,224.67,,,TRUE,toi
TOI 203.01,0,0,,0.06,,222,187,,51.9451,6.3155,9.7,24.79,3209,5.011,TRUE,toi
TOI 125.01,0.002,0.01,,0.3,,1216,1022,,4.6518,2.9219,9,111.06,5280,4.536,TRUE,toi
TOI 244.01,0,0.005,,0.12,,533,448,,7.3972,1.1494,8,22.03,3407,4.82,TRUE,toi
TOI 729.01,,,,0.39,,,442,,,2.0041,9.7,235.66,6023,4.305,TRUE,toi
TOI 301.01,0.026,0.015,,0.64,,2042,1717,,3.7441,2.781,11.2,667.74,6048,4.028,TRUE,toi
TOI 521.01,0,0.003,,0.18,,923,776,,1.5429,1.1124,10.1,60.94,3465,4.808,TRUE,toi
TOI 1356.01,,,,,,,1749,,24.2545,16.998,8.7,4772.59,12308,,TRUE,toi
TOI 814.01,0.01,0.008,,0.33,,1819,1529,,7.2105,2.671,8.2,196.47,6136,3.879,TRUE,toi
TOI 728.01,,,,0.42,,1961,1649,,1.6024,0.312,9.2,172.1,5754,4.49,TRUE,toi
TOI 1005.01,,,,0.58,,,1112,,4.5507,2.599,8.1,100.71,,,TRUE,toi
TOI 1199.01,0.096,0.071,,0.95,,1853,1558,,3.6715,2.164,9.5,248.43,5618,4.061,TRUE,toi
TOI 1297.01,,,,1.33,,,0,,3.9303,3.667,9.8,283.32,6292,,TRUE,toi
TOI 828.01,0.182,0.133,,1.53,,1862,1566,,5.3221,3.8876,8.6,200.07,5679,3.859,TRUE,toi
TOI 820.01,0.234,0.159,,1.33,,1942,1633,,3.7521,3.6801,9.7,282.09,6169,4.154,TRUE,toi
TOI 1031.01,0.037,0.025,,0.61,,1962,1650,,5.6497,2.858,9,270.77,6415,3.981,TRUE,toi
TOI 1230.01,0,0.003,,0.24,,895,753,,25.0567,6.7926,8.7,143.14,6083,4.371,TRUE,toi
TOI 833.01,0.005,0.009,,0.12,,1344,1130,,1.0419,1.238,8.1,41.71,3920,4.648,TRUE,toi
TOI 700.03,0,0.002,,0.09,,499,420,,9.9773,1.9739,8.6,31.13,3494,4.809,TRUE,toi
TOI 1108.01,0.21,0.124,,1.98,,2167,1822,,7.1439,1.467,9.5,417.08,8152,4.152,TRUE,toi
TOI 846.01,0.005,0.032,,1.11,,1143,962,,14.2049,4.924,10.9,446.82,6270,4.337,TRUE,toi
